통계표,"1.1.주요 통화금융지표"
2005/12,"1,021,591.6"
2006/01,"1,027,697.4"
2006/02,"1,034,711.9"
2006/03,"1,042,293.6"
2006/04,"1,048,598.6"
2006/05,"1,055,855.4"
2006/06,"1,072,886.5"
2006/07,"1,082,577.5"
2006/08,"1,084,752.6"
2006/09,"1,098,444.2"
2006/10,"1,110,360.9"
2006/11,"1,123,714.6"
2006/12,"1,138,295.5"
2007/01,"1,143,814.9"
2007/02,"1,154,108.8"
2007/03,"1,162,429.3"
2007/04,"1,165,291.0"
2007/05,"1,171,148.4"
2007/06,"1,190,080.2"
2007/07,"1,200,892.7"
2007/08,"1,208,052.8"
2007/09,"1,219,265.1"
2007/10,"1,229,742.1"
2007/11,"1,250,790.1"
2007/12,"1,269,522.5"
2008/01,"1,286,407.8"
2008/02,"1,309,161.7"
2008/03,"1,324,032.7"
2008/04,"1,339,434.9"
2008/05,"1,356,612.9"
2008/06,"1,369,728.1"
2008/07,"1,378,914.3"
2008/08,"1,386,101.1"
2008/09,"1,395,719.2"
2008/10,"1,403,984.2"
2008/11,"1,426,165.1"
2008/12,"1,436,298.3"
2009/01,"1,440,275.8"
2009/02,"1,457,931.3"
2009/03,"1,470,443.1"
2009/04,"1,482,009.7"
2009/05,"1,491,542.7"
2009/06,"1,501,898.3"
2009/07,"1,512,822.5"
2009/08,"1,524,879.7"
2009/09,"1,535,279.8"
2009/10,"1,551,319.5"
2009/11,"1,564,175.8"
2009/12,"1,570,027.1"
2010/01,"1,574,215.8"
2010/02,"1,595,403.8"
2010/03,"1,607,896.1"
2010/04,"1,621,176.9"
2010/05,"1,630,904.7"
2010/06,"1,647,981.2"
2010/07,"1,653,057.5"
2010/08,"1,653,907.2"
2010/09,"1,659,400.1"
2010/10,"1,669,376.6"
2010/11,"1,679,909.9"
2010/12,"1,682,871.9"
2011/01,"1,676,448.8"
2011/02,"1,674,390.5"
2011/03,"1,677,475.9"
2011/04,"1,684,792.3"
2011/05,"1,690,543.0"
2011/06,"1,697,204.2"
2011/07,"1,705,451.5"
2011/08,"1,719,437.8"
2011/09,"1,729,531.1"
2011/10,"1,742,645.4"
2011/11,"1,753,296.4"
2011/12,"1,756,597.4"
2012/01,"1,757,058.7"
2012/02,"1,762,988.4"
2012/03,"1,773,172.9"
2012/04,"1,777,114.7"
2012/05,"1,784,220.5"
2012/06,"1,796,981.5"
2012/07,"1,807,289.2"
2012/08,"1,817,134.9"
2012/09,"1,819,290.1"
2012/10,"1,822,420.9"
2012/11,"1,830,280.3"
2012/12,"1,835,556.7"
2013/01,"1,841,128.1"
2013/02,"1,857,135.0"
2013/03,"1,862,405.5"
2013/04,"1,867,726.3"
2013/05,"1,870,289.7"
2013/06,"1,884,193.2"
2013/07,"1,890,728.6"
2013/08,"1,888,658.4"
2013/09,"1,903,187.1"
2013/10,"1,908,557.6"
2013/11,"1,923,339.2"
2013/12,"1,932,026.4"
2014/01,"1,937,045.6"
2014/02,"1,954,340.7"
2014/03,"1,964,954.0"
2014/04,"1,970,361.6"
2014/05,"1,982,390.9"
2014/06,"1,999,376.3"
2014/07,"2,013,935.1"
2014/08,"2,031,777.2"
2014/09,"2,037,600.8"
2014/10,"2,051,149.8"
2014/11,"2,083,253.5"
2014/12,"2,088,729.8"
2015/01,"2,092,223.5"
2015/02,"2,109,892.3"
2015/03,"2,127,887.8"
2015/04,"2,148,114.7"
2015/05,"2,166,741.1"
2015/06,"2,179,561.1"
2015/07,"2,200,510.9"
2015/08,"2,218,660.3"
2015/09,"2,230,000.7"
2015/10,"2,232,432.0"
2015/11,"2,242,848.2"
2015/12,"2,246,070.1"
2016/01,"2,261,356.4"
2016/02,"2,285,313.5"
2016/03,"2,294,544.7"
2016/04,"2,299,081.3"
2016/05,"2,312,801.2"
2016/06,"2,334,256.2"
2016/07,"2,352,245.1"
2016/08,"2,377,323.1"
2016/09,"2,383,040.5"
2016/10,"2,391,059.2"
2016/11,"2,406,393.5"
2016/12,"2,414,040.9"
2017/01,"2,417,807.6"
2017/02,"2,420,285.6"
2017/03,"2,436,994.7"
2017/04,"2,450,220.9"
2017/05,"2,454,386.7"
2017/06,"2,470,861.1"
2017/07,"2,472,110.4"
2017/08,"2,485,629.9"
2017/09,"2,492,388.2"
2017/10,"2,504,594.2"
2017/11,"2,521,786.3"
2017/12,"2,527,641.3"
2018/01,"2,551,196.0"
2018/02,"2,570,764.6"
2018/03,"2,578,361.8"
2018/04,"2,590,840.7"
2018/05,"2,600,274.3"
2018/06,"2,622,268.3"
2018/07,"2,637,421.8"
2018/08,"2,651,503.4"
2018/09,"2,652,829.5"
2018/10,"2,674,506.5"
2018/11,"2,692,974.8"
2018/12,"2,699,882.3"
2019/01,"2,716,722.0"
2019/02,"2,730,481.9"
2019/03,"2,752,723.9"
2019/04,"2,763,058.0"
2019/05,"2,771,633.0"
2019/06,"2,799,248.0"
2019/07,"2,811,543.7"
2019/08,"2,832,566.1"
2019/09,"2,853,272.0"
2019/10,"2,874,176.1"
2019/11,"2,901,465.4"
2019/12,"2,912,434.1"
2020/01,"2,929,009.2"
2020/02,"2,954,603.8"
2020/03,"2,984,304.3"
2020/04,"3,015,816.4"
2020/05,"3,046,050.5"
2020/06,"3,077,284.1"
2020/07,"3,093,300.1"
2020/08,"3,100,373.4"
2020/09,"3,115,238.9"
2020/10,"3,152,811.6"
2020/11,"3,183,500.9"
2020/12,"3,197,671.2"
2021/01,"3,223,486.7"
2021/02,"3,271,405.8"
2021/03,"3,313,182.2"
2021/04,"3,358,874.9"
2021/05,"3,379,753.9"
2021/06,"3,413,899.8"
2021/07,"3,445,243.0"
2021/08,"3,487,634.1"
2021/09,"3,513,220.2"
   1.1.주요 통화금융지표
통계담당 : 한국은행 경제통계국 금융통계팀(02-759-4310, 5319)
주 : 최종월은 잠정치
M2:2009.7월부터 독립적인 결제서비스를 제공하는 증권사의 CMA를 서비스 제공 시점에 따라 M2에 포함. 간접투자자산운용업법 시행(2004년 4월)에 따라 2004년 4월부터 수익증권 취급기관 및 상품 확대분 반영

