통계표,"4.1.2 시장금리(월,분기,년)"
2016/08,"1.265"
2016/09,"1.322"
2016/10,"1.369"
2016/11,"1.511"
2016/12,"1.576"
2017/01,"1.496"
2017/02,"1.465"
2017/03,"1.485"
2017/04,"1.467"
2017/05,"1.464"
2017/06,"1.461"
2017/07,"1.464"
2017/08,"1.471"
2017/09,"1.481"
2017/10,"1.654"
2017/11,"1.787"
2017/12,"1.833"
2018/01,"1.839"
2018/02,"1.851"
2018/03,"1.875"
2018/04,"1.873"
2018/05,"1.887"
2018/06,"1.851"
2018/07,"1.842"
2018/08,"1.830"
2018/09,"1.790"
2018/10,"1.853"
2018/11,"1.844"
2018/12,"1.776"
2019/01,"1.733"
2019/02,"1.760"
2019/03,"1.769"
2019/04,"1.751"
2019/05,"1.711"
2019/06,"1.560"
2019/07,"1.478"
2019/08,"1.186"
2019/09,"1.228"
2019/10,"1.298"
2019/11,"1.386"
2019/12,"1.350"
2020/01,"1.316"
2020/02,"1.214"
2020/03,"1.030"
2020/04,"0.893"
2020/05,"0.779"
2020/06,"0.719"
2020/07,"0.689"
2020/08,"0.671"
2020/09,"0.705"
2020/10,"0.680"
2020/11,"0.700"
2020/12,"0.719"
2021/01,"0.695"
2021/02,"0.671"
2021/03,"0.684"
2021/04,"0.659"
2021/05,"0.611"
2021/06,"0.798"
2021/07,"0.910"
2021/08,"1.001"
2021/09,"1.073"
2021/10,"1.178"
2021/11,"1.339"
   4.1.2 시장금리(월,분기,년)
통계담당 : 한국은행 금융시장국 자금시장팀(02-759-4508), 채권시장팀(02-759-5630)
주 : 1) 월평균(영업일기준)
2) 국고채(30년) : 2012.9월부터 발행
3) 통안증권(1년) : 2011.5.1부터 364일물(할인채)에서 1년물(이표채)로 고시기준 변경

